id,name,address,parentID,authorizedOrgIDs,logo,logo_name,disclaimer,authorized
ORG_2bcdf9c8bc3dddba891d03ac8b0b38d8b,航天中心医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_e98caebca106f95c39aec89dda92a9e28,华北电网有限公司北京电力医院,样子胡同二号,ORG_e9da53637359d8cd9db80968a6ad9ab33,ORG_e9da53637359d8cd9db80968a6ad9ab33,,,,
ORG_02854c9b39b9abcafabd9b7d2c91cbd2a,煤炭总医院,上海市杨浦区,,,,,,
ORG_0bb597ca99ad2830b75e18cc11344fc2b,民航总医院,上海市武进路85号,ORG_3db49eb1ec9cdba7ce7d9d88d895fc2b0,ORG_3db49eb1ec9cdba7ce7d9d88d895fc2b0,,,,
ORG_5de8a19c87ab9cfd22dc1abfbaab0fad3,首都医科大学附属北京安贞医院,样子胡同二号,,,,,,
ORG_dcb481d9fe9698dd3b6dbe442b9b99ea4,首都医科大学附属北京朝阳医院,样子胡同二号,ORG_9dadd6b3c62dd3cda351b9dcdab93b9c4,ORG_9dadd6b3c62dd3cda351b9dcdab93b9c4,,,,
ORG_79fcdbbacd91c9bef885bbcada3a9ddd9,首都医科大学附属北京世纪坛医院,上海市浦东新区拱为路2800号,,,,,,
ORG_0ac9db91b8ea4aabccb3d9a0bcc85db6f,首都医科大学附属北京天坛医院,东海风车村一单元,,,,,,
ORG_3e8b6c8bcdaa9bf8ab53ccf98d8bc69c8,首都医科大学附属北京同仁医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_9f920aa18adfcbb8c9ca2ad382e89a859,首都医科大学附属北京友谊医院,京城八号当铺一楼,,,,,,
ORG_5babcc4d2949c8cbf0bfcbda1a4598a9b,首都医科大学附属复兴医院,东海风车村一单元,,,,,,
ORG_a7bb9dc4e446a3eadbc9a2c5cbbbbd79a,首都医科大学宣武医院,东海风车村一单元,,,,,,
ORG_9aaec8e91cabc01fcd9a9c8820a839ddb,卫生部北京医院,上海市武进路85号,,,,,,
ORG_68f8855baadc42c9b29dde9a3bad5f02b,卫生部中日友好医院,样子胡同二号,,,,,,
ORG_87b9d1c27d8cdb9d5b1c87a3ff0aada75,中国医学科学院北京协和医院,上海市浦东新区拱为路2800号,,,,,,
ORG_e8ce5d80d412dd0ba8edda2d08899ec39,天津市宝坻区人民医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_7884b89689bed7ca80b3ab2a766b29b98,天津市第三医院,东海风车村一单元,,,,,,
ORG_6cdb0bbfa9c590ab0dcc43d157dac45d9,天津市第三中心医院,上海市浦东新区拱为路2800号,,,,,,
ORG_81b969fecdcdcf0c997da913bcc9aebb5,天津市第四中心医院,京城八号当铺一楼,ORG_02854c9b39b9abcafabd9b7d2c91cbd2a,ORG_02854c9b39b9abcafabd9b7d2c91cbd2a,,,,
ORG_5d3ef9a9fb9cdeca9d395b42b5a90ab2c,天津市第五中心医院,上海虹口区四川北路,ORG_a7bb9dc4e446a3eadbc9a2c5cbbbbd79a,ORG_a7bb9dc4e446a3eadbc9a2c5cbbbbd79a,,,,
ORG_c9dd0b0c2f447d8a9debca6b0ff8be419,天津市第一中心医院,东海风车村一单元,,,,,,
ORG_03d79cb6b9d75db290ad997dacbeababc,天津市海河医院,样子胡同二号,,,,,,
ORG_5d99c8b38adb65bccc6bcf89c58ccfb0d,天津市环湖医院,上海市闸北区中山北路805弄11号,ORG_3e8b6c8bcdaa9bf8ab53ccf98d8bc69c8,ORG_3e8b6c8bcdaa9bf8ab53ccf98d8bc69c8,,,,
ORG_4a9bddd0e6ca0a48c2deddbe0b88d91bd,天津市蓟县人民医院,上海市杨浦区,ORG_5de8a19c87ab9cfd22dc1abfbaab0fad3,ORG_5de8a19c87ab9cfd22dc1abfbaab0fad3,,,,
ORG_59a2ab7ad9ada4dd9bd90999c9dbeb564,天津市静海县医院,样子胡同二号,,,,,,
ORG_4ac8dac6288d99cc6c69cdd54d5b3dccb,天津市人民医院,上海市浦东新区拱为路2800号,,,,,,
ORG_6c40ed9eb2a599cbaad4faba59a891cfd,天津市天和医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_2ac9b30e9208887a1a776b5cd9ab6dcda,天津市天津医院,上海市杨浦区,ORG_59a2ab7ad9ada4dd9bd90999c9dbeb564,ORG_59a2ab7ad9ada4dd9bd90999c9dbeb564,,,,
ORG_02bcc02ad09010cd7b70ad3cb4dbdaa6a,天津医科大学第二医院,样子胡同二号,ORG_c9dd0b0c2f447d8a9debca6b0ff8be419,ORG_c9dd0b0c2f447d8a9debca6b0ff8be419,,,,
ORG_19a6946bc4cd2bb1e25b89a29c9f9db8d,天津医科大学总医院,京城八号当铺一楼,ORG_5babcc4d2949c8cbf0bfcbda1a4598a9b,ORG_5babcc4d2949c8cbf0bfcbda1a4598a9b,,,,
ORG_3cd1d096fbb4dacb89db5bc8caadaab6b,保定市第二医院,样子胡同二号,,,,,,
ORG_29ddd907ac339d3a5abfc4b2baac89dcb,保定市第一中心医院,东海风车村一单元,,,,,,
ORG_80f1c291c9919a6dd9ccbb5dfcc9ae99a,保定涿州市医院,东海风车村一单元,,,,,,
ORG_369da2d66b6ddd4c9f98a98ccaa36cabb,沧州市人民医院,样子胡同二号,ORG_0ac9db91b8ea4aabccb3d9a0bcc85db6f,ORG_0ac9db91b8ea4aabccb3d9a0bcc85db6f,,,,
ORG_4acf3c5d8fb6bd97ad88a3dd9c24dfb30,沧州市中心医院,京城八号当铺一楼,,,,,,
ORG_5bcd518dcdb4cac9d3d634982bdcda19e,承德市中心医院,东海风车村一单元,,,,,,
ORG_1c389a81daac8cf9acda4d2aab8b700c1,承德医学院附属医院,上海市闸北区中山北路805弄11号,ORG_79fcdbbacd91c9bef885bbcada3a9ddd9,ORG_79fcdbbacd91c9bef885bbcada3a9ddd9,,,,
ORG_5babab1997e69b4b4a9ceccc9a40f6eb7,邯郸市第一医院,上海市武进路85号,,,,,,
ORG_4d29ad5b099cbc03bbcdad3af9cc0cabb,邯郸市中心医院,上海市杨浦区,,,,,,
